execucao_id,cenario,familia_intencionada,classe,ids,n_alertas,n_corretos,n_errados,familias_detectadas,rotulo,familia_prevista
campanha02-benigno-dns-benigno-r10,benigno-dns,dns,benigno,zeek,0,0,0,-,TN,-
campanha02-dns-tunneling-malicioso-r02,dns-tunneling,dns-tunneling,malicioso,suricata,204,204,0,dns-tunneling,TP,dns-tunneling
campanha02-dns-tunneling-malicioso-r02,dns-tunneling,dns-tunneling,malicioso,snort,0,0,0,-,FN_PURO,NENHUM
campanha02-dns-tunneling-malicioso-r02,dns-tunneling,dns-tunneling,malicioso,zeek,295,184,0,dns-tunneling;nao-mapeado,TP,dns-tunneling
campanha02-syn-flood-malicioso-r15,syn-flood,flood-syn,malicioso,suricata,2,2,0,flood-syn,TP,flood-syn
campanha02-syn-flood-malicioso-r15,syn-flood,flood-syn,malicioso,snort,360,360,0,flood-syn,TP,flood-syn
campanha02-syn-flood-malicioso-r15,syn-flood,flood-syn,malicioso,zeek,341,3,337,flood-syn;nao-mapeado;scan,TP,flood-syn
campanha02-idor-path-traversal-malicioso-r12,idor-path-traversal,path-traversal,malicioso,suricata,873,0,684,dos-http;flood-syn;nao-mapeado,ERRO_CLASSIF,dos-http
campanha02-idor-path-traversal-malicioso-r12,idor-path-traversal,path-traversal,malicioso,snort,1234,0,1234,dos-http;flood-syn,ERRO_CLASSIF,dos-http
campanha02-idor-path-traversal-malicioso-r12,idor-path-traversal,path-traversal,malicioso,zeek,1296,598,226,nao-mapeado;path-traversal;scan,TP,path-traversal
campanha02-benigno-mix-benigno-r01,benigno-mix,mix,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-mix-benigno-r01,benigno-mix,mix,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-mix-benigno-r01,benigno-mix,mix,benigno,zeek,13,0,13,scan,FP,scan
campanha02-benigno-mix-benigno-r08,benigno-mix,mix,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-mix-benigno-r08,benigno-mix,mix,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-mix-benigno-r08,benigno-mix,mix,benigno,zeek,8,0,8,scan,FP,scan
campanha02-port-scanner-tcp-malicioso-r13,port-scanner-tcp,scan,malicioso,suricata,0,0,0,-,FN_PURO,NENHUM
campanha02-port-scanner-tcp-malicioso-r13,port-scanner-tcp,scan,malicioso,snort,0,0,0,-,FN_PURO,NENHUM
campanha02-port-scanner-tcp-malicioso-r13,port-scanner-tcp,scan,malicioso,zeek,2023,1956,0,nao-mapeado;scan,TP,scan
campanha02-benigno-ssh-benigno-r08,benigno-ssh,ssh,benigno,suricata,0,0,0,-,TN,-
